URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://terminology.hl7.org/CodeSystem/contactentity-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1129",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://terminology.hl7.org/CodeSystem/location-physical-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1108",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.  This includes several 'non physical' codes which are still considered a location.","ValueSet/location-physical-type"
http://terminology.hl7.org/CodeSystem/v2-0116,2.0.0,active,"2.16.840.1.113883.18.47",BedStatus,bedStatus,"Code system of concepts which specify the state of a bed in an inpatient setting, and is used to determine if a patient may be assigned to it or not.  Used in HL7 Version 2.x messaging in the DLD and PV1 segments.","ValueSet/v2-0116"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-champ-activite,2.1.0,draft,,FRCoreCodeSystemChampActivite,FR Core CodeSystem Champ Activite - Codes du champ d'activité,"Champ d'activité clinique de l'organisation type UF, tel que cité dans les fiches pratiques de comptabilité analytique hospitalière, de la DGOS.","ValueSet/fr-core-vs-organization-champ-activite"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-code-tarif-tnjp,2.1.0,draft,,FRCoreCodeSystemCodeTarifTNJP,FR Core CodeSystem Codes Tarifs - nomenclature TNJP,"La nomenclature des codes Tarif - Tarifs Nationaux Journaliers des Prestations","ValueSet/fr-core-vs-oragnization-code-tarif-tnjp"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-discipline-equipement,2.1.0,draft,,FRCoreCodeSystemDisciplineEquipement,FR Core CodeSystem Discipline d'Equipement - nomenclature SAE,"La nomenclature de disciplines d'équipement est utilisée pour ventiler l'activité et le personnel entre les différentes disciplines de la section hôpital (MCO, PSY, HAD, SMR et SLD) et la discipline 'administration, services hôteliers et techniques'. La nomenclature des disciplines d’équipement s’applique aux unités fonctionnelles et aux sections issues du fichier de structure des établissements. Les disciplines sociales, médico-sociales et de formation n'apparaissent pas, car elles ne font pas partie du champ de la SAE.","ValueSet/fr-core-vs-organization-discipline-equipement"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-discipline-prestation,2.1.0,draft,,FRCoreCodeSystemDisciplinePrestation,FR Core CodeSystem Discipline de prestation - nomenclature SAE,"La nomenclature des discipline de prestation.","ValueSet/fr-core-vs-discipline-prestation"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-position-lit,2.1.0,active,,FRCoreCodeSystemPositionLit,FR Core CodeSystem Position du lit,"Position du lit dans la chambre","ValueSet/fr-core-vs-location-position-lit"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-type,2.1.0,active,,FRCoreCodeSystemLocationType,FR Core CodeSystem Location Type,"Location type","ValueSet/fr-core-vs-location-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-type-chambre,2.1.0,active,,FRCoreCodeSystemTypeChambre,FR Core CodeSystem Type Chambre,"Type de chambre","ValueSet/fr-core-vs-location-type-chambre"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-type-activite,2.1.0,draft,,FRCoreCodeSystemTypeActivite,FR Core CodeSystem Type d'activité - nomenclature SAE,"La nomenclature des types d'activité.","ValueSet/fr-core-vs-oragnization-type-activite"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-uf-indicateur,2.1.0,draft,,FRCoreCodeSystemUFIndicateur,FR Core CodeSystem UF Indicator - indicateur d'une unité fonctionnelle,"Système de codage permettant de définir les indicateurs d'une unité fonctionnelle.","ValueSet/fr-core-vs-organization-uf-indicateur"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-v2-3307,2.1.0,draft,,FRCoreCodeSystemv2_3307,FR Core CodeSystem v2-3307,"HL7 v2 - Table 3307","ValueSet/fr-core-vs-organization-type,ValueSet/fr-core-vs-organization-etablissement-type,ValueSet/fr-core-vs-organization-uf-type,ValueSet/fr-core-vs-organization-uac-type"
https://mos.esante.gouv.fr/NOS/TRE_R13-CommuneOM/FHIR/TRE-R13-CommuneOM,20240628120000,active,"1.2.250.1.213.2.23",TRE_R13_CommuneOM,,"Référentiel des codes commune (outre-mer et Monaco inclus) provenant du COG INSEE","ValueSet/fr-core-vs-insee-code"
https://mos.esante.gouv.fr/NOS/TRE_R256-TypeMessagerie/FHIR/TRE-R256-TypeMessagerie,1.3.0,active,"1.2.250.1.213.3.3.54",TRE_R256-TypeMessagerie,,"Type de messagerie électronique","ValueSet/fr-core-vs-email-type"
https://mos.esante.gouv.fr/NOS/TRE_R66-CategorieEtablissement/FHIR/TRE-R66-CategorieEtablissement,1.3.0,active,"1.2.250.1.213.1.6.1.8",TRE_R66-CategorieEtablissement,,"Catégorie d'établissements","ValueSet/fr-core-vs-categorie-sae-etablissement"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
